Expression	Value	Location	Type	
[30]	2.0514747611E+1	Memory:0x1dee	double	
[31]	2.05147438E+1	Memory:0x1df2	double	
[32]	2.05147419E+1	Memory:0x1df6	double	
[33]	2.05147037E+1	Memory:0x1dfa	double	
[34]	2.05147152E+1	Memory:0x1dfe	double	
[35]	2.0514806744E+1	Memory:0x1e02	double	
[36]	2.0514806744E+1	Memory:0x1e06	double	
[37]	2.05148429E+1	Memory:0x1e0a	double	
[38]	2.05147667E+1	Memory:0x1e0e	double	
[39]	2.05147667E+1	Memory:0x1e12	double	
[40]	2.0514841E+1	Memory:0x1e16	double	
[41]	2.0514902111E+1	Memory:0x1e1a	double	
[42]	2.05148639E+1	Memory:0x1e1e	double	
[43]	2.0514875411E+1	Memory:0x1e22	double	
[44]	2.0514883044E+1	Memory:0x1e26	double	
[45]	2.05148086E+1	Memory:0x1e2a	double	
[46]	2.0514881133E+1	Memory:0x1e2e	double	
[47]	2.0514856333E+1	Memory:0x1e32	double	
[48]	2.05148162E+1	Memory:0x1e36	double	
[49]	2.0514797211E+1	Memory:0x1e3a	double	
[50]	2.0514799111E+1	Memory:0x1e3e	double	
[51]	2.0514879222E+1	Memory:0x1e42	double	
[52]	2.05149154E+1	Memory:0x1e46	double	
[53]	2.0514877311E+1	Memory:0x1e4a	double	
[54]	2.05148449E+1	Memory:0x1e4e	double	
[55]	2.05148372E+1	Memory:0x1e52	double	
[56]	2.0514827722E+1	Memory:0x1e56	double	
[57]	2.05149402E+1	Memory:0x1e5a	double	
[58]	2.0514928811E+1	Memory:0x1e5e	double	
[59]	2.0514909744E+1	Memory:0x1e62	double	
[60]	2.05148735E+1	Memory:0x1e66	double	
[61]	2.05148964E+1	Memory:0x1e6a	double	
[62]	2.05148983E+1	Memory:0x1e6e	double	
[63]	2.0514902111E+1	Memory:0x1e72	double	
[64]	2.05148944E+1	Memory:0x1e76	double	
[65]	2.0514772411E+1	Memory:0x1e7a	double	
[66]	2.0514801022E+1	Memory:0x1e7e	double	
[67]	2.05148182E+1	Memory:0x1e82	double	
[68]	2.0514823911E+1	Memory:0x1e86	double	
[69]	2.05148391E+1	Memory:0x1e8a	double	
[70]	2.0514797211E+1	Memory:0x1e8e	double	
[71]	2.05147953E+1	Memory:0x1e92	double	
[72]	2.0514926911E+1	Memory:0x1e96	double	
[73]	2.05148964E+1	Memory:0x1e9a	double	
[74]	2.05149192E+1	Memory:0x1e9e	double	
[75]	2.05148925E+1	Memory:0x1ea2	double	
[76]	2.05148696E+1	Memory:0x1ea6	double	
[77]	2.05149192E+1	Memory:0x1eaa	double	
[78]	2.0514934533E+1	Memory:0x1eae	double	
[79]	2.05149192E+1	Memory:0x1eb2	double	
[80]	2.05149002E+1	Memory:0x1eb6	double	
[81]	2.05148735E+1	Memory:0x1eba	double	
[82]	2.05148449E+1	Memory:0x1ebe	double	
